ticker,sucesso,erro,preco_atual,valor_combinado,desconto_percentual,divergencia_percentual_metodos,metodos_utilizados,graham_valor_justo,bazin_preco_teto,bazin_razao_dividendos_percentual,fcd_valor_justo,ano_referencia_fcd,data_balanco_fundamentus,beta_utilizado,aviso_desconto_extremo
MGLU3,True,,6.119999885559082,114.96344684760467,1778.4877287150862,3561.9476311641683,"graham,fcd",5.967851372143914,,,223.95904232306543,2025.0,2026-06-30,2.0013164700230925,"Desconto extremo — provavelmente vem da taxa de crescimento estimada pelo FCD, que usa só dois anos de dados e pode exagerar o resultado. Não é necessariamente uma oportunidade real."
HAPV3,True,,6.650000095367432,75.49916864292985,1035.3258279729139,,fcd,,,,75.49916864292985,2025.0,2026-06-30,1.6007397480213459,"Desconto extremo — provavelmente vem da taxa de crescimento estimada pelo FCD, que usa só dois anos de dados e pode exagerar o resultado. Não é necessariamente uma oportunidade real."
CSAN3,True,,3.890000104904175,31.942683955350677,721.1486656537646,,fcd,,,,31.942683955350677,2025.0,2026-06-30,1.7798707327800347,"Desconto extremo — provavelmente vem da taxa de crescimento estimada pelo FCD, que usa só dois anos de dados e pode exagerar o resultado. Não é necessariamente uma oportunidade real."
BEEF3,True,,4.019999980926514,20.525534982749058,410.58544975461456,819.9826263486364,"graham,fcd",4.043884271341108,,,37.00718569415701,2025.0,2026-06-30,0.7991437577457001,"Desconto extremo — provavelmente vem da taxa de crescimento estimada pelo FCD, que usa só dois anos de dados e pode exagerar o resultado. Não é necessariamente uma oportunidade real."
POMO4,True,,4.130000114440918,13.243677759275123,220.67015477717322,174.70488582707117,"graham,bazin,fcd",8.557102313283393,15.401516666666668,336.96065168481965,15.772414297875306,2025.0,2026-06-30,0.9788674233854074,"Desconto extremo — provavelmente vem da taxa de crescimento estimada pelo FCD, que usa só dois anos de dados e pode exagerar o resultado. Não é necessariamente uma oportunidade real."
CEAB3,True,,9.350000381469727,20.126860119648747,115.26052725663104,50.321504716675825,"graham,fcd",22.479390561133993,,,17.774329678163497,2025.0,2026-06-30,1.777350344194863,
ALOS3,True,,29.34000015258789,60.73911687506233,107.01812051526159,191.99587995880032,"graham,fcd",32.57332113862509,,,88.90491261149957,2025.0,2026-06-30,1.2023244669703539,
AZZA3,True,,14.899999618530273,28.190270821880503,89.19645331280333,235.2868264305357,"graham,bazin,fcd",37.088482039576654,41.27003333333333,134.89664850577103,6.212297092731522,2025.0,2026-06-30,1.3069595031369599,
LREN3,True,,11.170000076293945,19.710207958607242,76.45665016993287,88.89049185744148,"graham,bazin,fcd",18.51998920086078,15.340783333333334,151.84309028791637,25.26985134162761,2025.0,2026-06-30,1.4303949688151043,
BBDC3,True,,15.949999809265137,26.51770624062092,66.25521352807257,37.51899197160063,"graham,bazin",29.509845814575172,23.52556666666667,168.15346567679097,,,2026-06-30,,
CURY3,True,,27.299999237060547,44.763664233938265,63.96947064075476,228.39706542620397,"graham,bazin,fcd",20.768852881177622,83.12124999999999,441.8088270077629,30.40088982063716,2025.0,2026-06-30,1.3477961922784736,
BBDC4,True,,18.030000686645508,27.69453124062092,53.60249687141583,20.136600164400686,"graham,bazin",29.509845814575172,25.879216666666668,168.15332217908525,,,2026-06-30,,
ASAI3,True,,10.289999961853027,15.503980299696112,50.67036304346253,133.10374085750271,"graham,fcd",8.655792857965121,,,22.352167741427102,2025.0,2026-06-30,1.6683384204129796,
SANB11,True,,29.450000762939453,43.95923295083371,49.26734061804508,37.385734973752925,"graham,bazin",49.46428256833409,38.45418333333333,122.97527277340099,,,2026-06-30,,
FLRY3,True,,21.989999771118164,31.506883941551035,43.278236787125486,177.14778293226442,"graham,bazin,fcd",16.951327381653627,21.663200000000003,143.9200119583451,55.90612444299947,2025.0,2026-06-30,0.9710840733147157,
ITSA4,True,,14.100000381469727,19.392606640593257,37.536213588186094,31.691914446971747,"graham,bazin,fcd",17.45628826526418,18.796683333333334,216.40497128482426,21.924848323182257,2025.0,2026-06-30,1.2268825483051458,
PETR4,True,,49.599998474121094,67.54055604099328,36.17048007820547,90.52565104925411,"graham,bazin,fcd",93.22496983104902,61.07245,49.89381548198458,48.3242482919308,2025.0,2026-06-30,0.38992979695540697,
MRVE3,True,,5.239999771118164,7.081658839779085,35.14616696763576,,fcd,,,,7.081658839779085,2025.0,2026-06-30,1.5844671164393154,
COGN3,True,,2.299999952316284,3.088090483889005,34.26480643093278,351.6874484122662,"graham,fcd",7.132496056781244,,,-0.9563150890032344,2025.0,2026-06-30,1.5354964102733193,
BBSE3,True,,38.86000061035156,50.51901451292338,30.00260864500881,134.24871414460577,"graham,fcd",24.434488944931918,,,76.60354008091484,2025.0,2026-06-30,0.5747330089343524,
PETR3,True,,54.59000015258789,67.21767839959726,23.13185237536722,84.02519570451364,"graham,bazin,fcd",93.22496983104902,61.07245,49.89381548198458,47.35561536774276,2025.0,2026-06-30,0.4210031297613523,
BBAS3,True,,22.170000076293945,26.677650493040666,20.332207493164084,142.19035127468968,"graham,bazin",42.43945098608133,10.915849999999999,34.58751957245571,,,2026-06-30,,
BRAP4,True,,20.56999969482422,24.37047925808155,18.47583675080753,153.92090405905307,"graham,bazin,fcd",26.202900602795868,39.28503333333334,72.04821427807269,7.62350383811544,2025.0,2026-06-30,0.9449688378887247,
ITUB4,True,,42.369998931884766,46.988493273318085,10.900388146948373,21.97194639615179,"graham,bazin",42.33373654663618,51.64324999999999,279.37292911078544,,,2026-06-30,,
VIVT3,True,,30.1200008392334,28.324137947403003,-5.962360032510887,84.11470912120582,"graham,bazin,fcd",30.62976493543494,39.839,154.74350865631175,14.503648906774073,2025.0,2026-06-30,0.806515449462093,
CXSE3,True,,20.110000610351562,17.67614815399152,-12.102697078523333,49.89590472659102,"graham,bazin,fcd",12.50139992160878,22.535466666666668,133.82516684498438,17.99157787369911,2025.0,2026-06-30,0.69755440750114,
HYPE3,True,,24.3700008392334,21.29524695642412,-12.616962564314797,90.99783822295782,"graham,bazin,fcd",33.821590737279045,18.418733333333336,90.66545902340054,11.645416798659975,2025.0,2026-06-30,1.0190817883348415,
KLBN11,True,,18.65999984741211,16.203054219909184,-13.166911294716172,62.77018364514711,"graham,bazin,fcd",8.772114910328067,19.352016666666668,88.27266645380044,20.485031082732817,2025.0,2026-06-30,0.5700067134477509,
CMIG4,True,,11.029999732971191,9.156663721585078,-16.984007767346395,333.4287922802633,"graham,bazin,fcd",19.222252729584014,22.512466666666665,101.63695369351078,-14.264728231495447,2025.0,2026-06-30,0.9588688197083226,
ABEV3,True,,15.300000190734863,12.651208996189169,-17.31236053284305,16.354571065803494,"graham,bazin,fcd",11.604417262404864,14.106666666666667,115.91344837030952,12.242543059495977,2025.0,2026-06-30,0.6671752167998709,
YDUQ3,True,,10.859999656677246,8.482373476656866,-21.893427764139037,26.241190170919953,"graham,fcd",9.90727005789183,,,7.0574768954219005,2025.0,2026-06-30,1.5643475256614074,
DIRR3,True,,9.880000114440918,7.541923843784697,-23.664739307429922,107.30950930843267,"graham,fcd",12.843013665024264,,,2.2408340225451293,2025.0,2026-06-30,1.5083857045608864,
TAEE11,True,,41.27000045776367,31.365442307959782,-23.99941371442523,135.6951646332135,"graham,bazin,fcd",49.88252198916971,50.107600000000005,85.10951021045979,-5.89379506529037,2025.0,2026-06-30,0.899164783347564,
UGPA3,True,,39.7400016784668,29.87706658268483,-24.81865797485917,18.235247657401448,"graham,fcd",33.500410445246786,,,26.253722720122873,2025.0,2026-06-30,0.9448895778489177,
VBBR3,True,,39.970001220703125,29.626253058533436,-25.878778699691342,76.11586175787244,"graham,bazin,fcd",43.17254335801864,32.95718333333334,134.89047738911142,12.749032484248325,2025.0,2026-06-30,1.030518205912677,
SUZB3,True,,47.4900016784668,34.63898696378432,-27.060463803919937,172.45773080937522,"graham,fcd",75.58907659179334,,,-6.311102664224699,2025.0,2026-06-30,0.42794763519023993,
VIVA3,True,,22.309999465942383,16.12475350104032,-27.724097323911774,81.15345635460986,"graham,bazin,fcd",27.4259730912141,11.627650000000001,191.56351594763203,9.320637411906855,2025.0,2026-06-30,1.1360262424065135,
TEND3,True,,27.309999465942383,18.857404548618454,-30.95054955187732,129.36512791004944,"graham,fcd",36.522212419293545,,,1.1925966779433603,2025.0,2026-06-30,1.56927051359241,
RDOR3,True,,38.099998474121094,26.0517833434329,-31.622613158034063,202.41105045276782,"graham,bazin,fcd",21.15345716425568,67.06025000000001,621.2033724813306,-10.058357133957,2025.0,2026-06-30,1.203707845469975,
RAIL3,True,,15.880000114440918,10.691501950760847,-32.673162004336305,0.7194693731538965,"graham,fcd",10.74862781940095,,,10.634376082120744,2025.0,2026-06-30,1.07251278641758,
RENT3,True,,38.150001525878906,24.990811052679742,-34.493289506876366,107.94584006766317,"graham,bazin,fcd",40.67614472882109,34.80148333333334,138.9679275960039,-0.5051949041152101,2025.0,2026-06-30,1.712608390699645,
AXIA3,True,,55.349998474121094,34.6175892310235,-37.4569283010749,103.68818068028556,"graham,fcd",63.313292443214486,,,5.92188601883251,2025.0,2026-06-30,1.3831751234882592,
MULT3,True,,31.440000534057617,18.219932736771984,-42.04856098194049,65.52810379681165,"graham,bazin,fcd",28.274900530329017,18.712033333333334,156.61728908275987,7.672864346653606,2025.0,2026-06-30,1.2487011011075093,
BPAC11,True,,63.650001525878906,35.03635642436084,-44.95466522476718,35.72104577689727,"graham,bazin",46.40457951538835,23.668133333333333,182.05416160279785,,,2026-06-30,,
CYRE3,True,,26.68000030517578,14.686085329192569,-44.95470329382438,264.2560016821547,"graham,fcd",49.93783635681466,,,-20.56566569842952,2025.0,2026-06-30,1.686635296139946,
TIMS3,True,,18.639999389648438,10.06460569045518,-46.00533251066268,145.24779819609245,"graham,bazin,fcd",1.5385057685949701,27.864749999999997,146.59922521539818,0.7905613027705733,2025.0,2026-06-30,0.7846658529207802,
